Subject,A_o,A_s
146,52.16667,91
4,66,82.33334
7,73,83
9,49.16667,88.5
11,69.83334,84.33334
12,55.33333,91.5
13,70,81.66666
14,44.16667,92.5
15,82.33334,68.16666
16,75,70
17,57.83333,89.33334
19,55.83333,92.5
21,68,83.83334
22,69.5,83.33334
23,68.33334,80
24,55.83333,92.5
26,38.33333,90
28,70,81.5
30,64.16666,83.16666
32,74.66666,82.16666
33,71.83334,82.16666
34,74,81.83334
35,71,81.5
36,81.33334,77.16666
40,55.83333,92.5
41,55.83333,84.83334
44,58.33333,86.66666
48,53.16667,89.33334
49,70.5,86.33334
51,74.66666,82.16666
53,61.66667,90
54,74.66666,82.16666
55,55.83333,92.5
59,57.16667,79.66666
60,81.66666,72
61,80,80
63,48.5,90
64,55.83333,92.5
65,44.16667,92.5
67,50,90
70,68,77.66666
73,44.16667,92.5
74,38.33333,90
75,74.66666,82.16666
76,54.33333,92.5
79,44.33333,91.33334
82,44.16667,92.5
84,73,83
85,74,81.83334
87,44.16667,92.5
89,41.33333,91.33334
91,73,83
92,44.16667,92.5
93,63.33333,78.5
97,59.16667,80.5
99,74.66666,82.16666
1,74.16666,75.83334
100,55.83333,92.5
101,55.83333,92.5
102,38.33333,90
103,80,80
104,55.83333,92.5
109,50,90
110,74.66666,82.16666
112,55.83333,78.5
115,54.33333,92.5
116,41.33333,90
117,64.33334,76.33334
120,38.33333,90
123,72.83334,82.5
124,49,84.66666
127,38.33333,90
129,44.16667,92.5
132,71,81.83334
135,54.33333,92.5
136,44.16667,92.5
137,72.5,82.5
138,67.66666,84
139,51.83333,82.66666
140,74.66666,82.16666
141,72.5,80.83334
142,50.83333,91.5
143,44.16667,92.5
147,69.83334,84.33334
149,51.5,92.5
152,70.83334,84
155,84.16666,75.83334
156,51.33333,89.66666
157,73,83
163,61.66667,90
164,60.83333,87
165,44.16667,92.5
168,56.83333,91.5
169,44.16667,92.5
170,44.16667,92.5
171,66.66666,81
172,57.66667,91.83334
173,44.16667,92.5
174,63.16667,86.33334
175,68.16666,78.33334
177,44.16667,92.5
178,42.5,85.83334
179,40.83333,84.16666
180,77.16666,78.83334
182,80,80
185,73.83334,79.66666
186,55.83333,92.5
187,63.5,84.5
188,44.16667,92.5
189,57.83333,78.83334
191,73.83334,75.5
193,57.66667,87.66666
194,47.5,90.5
195,65.83334,85.83334
196,44.16667,92.5
197,80,80
198,55.83333,92.5
199,54.83333,83.16666
200,54.66667,86.83334
201,44.16667,92.5
203,50,92.5
205,68.83334,78.66666
206,58.33333,81.66666
207,44.16667,92.5
208,67.66666,82.16666
209,59.33333,83.83334
210,56.5,86.83334
212,44.16667,92.5
213,72.5,80.83334
215,67.66666,86.5
216,60,88.33334
218,75.83334,81.83334
219,54.33333,87.16666
220,66.66666,85
221,46.66667,86.66666
222,47,89.66666
225,55,78.33334
227,44.16667,92.5
228,67,83.33334
231,77.16666,71.5
232,67.16666,85.5
234,64.16666,87.83334
236,65.5,83.83334
238,78.33334,78.33334
239,68.16666,77.16666
241,51.33333,74.83334
242,55,77.33334
243,74.16666,82.5
244,66,75.66666
245,61.66667,85.5
246,44.16667,92.5
247,39,89.66666
250,44.16667,92.5
254,59.16667,84.5
256,62.83333,85.5
257,59.66667,87.33334
259,76.33334,77.83334
260,54.83333,88.66666
261,44.16667,92.5
262,72.66666,77.83334
263,65.66666,85.5
264,55.83333,92.5
266,38.33333,90
267,70.5,86.33334
268,61.5,84.66666
270,61.66667,90
271,39.83333,90.66666
272,73,83
273,55.83333,92.5
274,44.16667,92.5
277,44.16667,92.5
46,75.83334,84.16666
90,65.66666,80.5
96,60,88.33334
98,68.83334,79.66666
