subjct,gender,age
222,F,7.528767123
212,F,7.271232877
246,M,8.397260274
277,M,9.178082192
139,F,7.463013699
197,M,8.621917808
163,F,8.235616438
164,F,8.934246575
100,M,9.967123288
191,M,9.290410959
171,F,7.509589041
149,M,7.665753425
179,M,7.657534247
177,M,7.523287671
170,M,9.632876712
123,F,8.169863014
63,M,8.167123288
97,M,7.279452055
208,M,7.18630137
201,F,7.471232877
206,F,8.090410959
96,F,9.35890411
262,F,8.156164384
207,F,7.484931507
209,F,8.528767123
236,F,9.397260274
231,M,6.539726027
219,M,8.871232877
218,F,8.775342466
193,M,7.750684932
194,F,8.931506849
195,M,9.616438356
168,M,9.252054795
175,F,7.054794521
186,M,9.591780822
172,M,9.126027397
189,M,9.216438356
173,M,8.328767123
187,M,9.591780822
180,F,7.473972603
174,M,9.035616438
205,M,7.183561644
203,F,8.64109589
232,M,7.169863014
143,M,8.794520548
82,F,9.630136986
87,M,8.967123288
40,M,9.473972603
103,M,9.169863014
124,M,9.926027397
146,F,8.526027397
213,M,11.52876712
225,F,12.59178082
247,F,12.56986301
215,F,12.44109589
48,F,14.5890411
137,F,12.76438356
199,F,14.64657534
152,M,10.55342466
155,M,10.84109589
138,F,15.4630137
136,F,14.34794521
109,F,10.55616438
165,F,10.8
196,F,10.37260274
198,M,10.51780822
185,M,10.05479452
182,F,10.1890411
140,M,16.64931507
147,M,11.55068493
178,F,10.6630137
239,F,12.62191781
254,F,10.65205479
238,M,14.08493151
200,M,11.14794521
272,M,10.12328767
244,M,10.74246575
228,M,11.19726027
210,F,10.08493151
221,M,11.98082192
245,M,11.15342466
220,M,12.82465753
227,F,10.28219178
156,F,11.60273973
157,M,10.84657534
132,M,12.59178082
116,F,10.21369863
256,F,12.20547945
250,M,12.89863014
76,F,10.18356164
36,F,13.43561644
34,F,13.54520548
21,F,12.50410959
23,M,12.69041096
24,F,11.03561644
90,M,12.93972603
141,M,10.1260274
15,F,12.01369863
26,M,11.48767123
35,F,15.83013699
127,M,11.96712329
9,M,11.54520548
59,F,13.16438356
14,M,12.01369863
101,M,10.42191781
7,F,12.03835616
120,M,10.83013699
98,F,10.78630137
32,M,11.22191781
99,M,14.67671233
115,F,11.55068493
135,F,11.0739726
54,F,14.48219178
104,M,10.78630137
67,F,11.01643836
169,M,7.873972603
85,M,12.29589041
